detected 8780830, inserted: 8780830 lines out of 4846853993; not in taxo: 4837926119
Done processing the product/categories file
2020-05-22 14:56:04,052 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:04,052 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:04,052 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:04,052 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:04,161 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:04,161 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:04,161 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:04,161 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:04,161 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:04,161 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:04,162 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:04,162 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:04,163 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:04,163 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:04,302 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:04,302 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:04,303 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:04,303 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:04,304 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:04,304 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:04,305 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:04,305 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:04,305 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:04,305 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:20,247 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:20,247 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:20,248 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:20,248 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:20,248 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:20,248 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:20,249 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:20,249 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:20,249 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:20,249 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:20,475 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:20,475 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:20,475 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:20,475 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:20,475 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:20,475 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:20,476 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:20,476 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:20,477 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:20,477 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:20,697 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:20,697 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:20,698 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:20,698 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:20,698 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:20,698 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:20,698 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:20,698 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:20,698 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:20,698 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:21,525 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:21,525 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:21,525 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:21,525 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:21,526 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:21,526 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:21,528 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:21,528 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:21,528 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:21,528 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:22,021 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:22,021 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:22,022 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:22,022 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:22,022 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:22,022 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:22,023 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:22,023 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:22,024 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:22,024 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:42,671 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:42,671 - parso.python.diff - DEBUG - diff parser start
